Date,Promo Power,Cost of BZ,Cost of Display,Cost of PLA,Cost of Search,TOT COST,Cost exc BZ,GMV of BZ,GMV of Display,GMV of PLA,GMV of Search,TOT GMV,GMV exc BZ,Cost of BZ EC,Cost of Display EC,Cost of Display NC,Cost of PLA EC,Cost of PLA NC,Cost of Search EC,Cost of Search NC,Cost on EC exc BZ,Cost on NC exc BZ
5/14/2021,0,0,0,1942,5183,7124,7124,0,0,21580,72614,94194,94194,0,0,0,300,1642,1935,3247,2235,4889
5/15/2021,0,0,0,2896,5709,8605,8605,0,0,26214,85468,111682,111682,0,0,0,566,2330,2231,3478,2797,5807
5/16/2021,3,8572,1509,9573,6980,26633,18061,135789,12140,91633,74161,313723,177934,8572,2,1506,1489,8085,2450,4529,3941,14120
5/17/2021,3,6764,1313,7488,5532,21097,14333,127534,8891,135180,58350,329955,202421,6764,25,1289,935,6553,1434,4098,2393,11940
5/18/2021,3,7996,1579,10084,5592,25251,17255,151477,7222,105635,52779,317113,165635,7996,46,1534,1489,8595,899,4693,2434,14821
5/19/2021,3,6809,8,6863,4062,17741,10932,93249,0,55122,32492,180864,87614,6809,0,8,987,5876,838,3223,1825,9108
5/20/2021,3,4716,0,3767,4308,12791,8075,94796,0,37543,36768,169107,74311,4716,0,0,563,3204,1110,3197,1673,6402
5/21/2021,0,4032,0,2440,4026,10498,6466,43141,0,13171,24106,80417,37277,4032,0,0,368,2072,1287,2739,1655,4811
5/22/2021,0,3992,0,3650,4862,12504,8512,61943,0,19872,44384,126200,64256,3992,0,0,563,3086,1703,3159,2266,6246
5/23/2021,0,3998,0,5112,3987,13096,9099,65451,0,39441,42430,147322,81871,3998,0,0,826,4286,2025,1962,2851,6248
5/24/2021,0,3991,0,3167,3137,10295,6304,60145,0,19037,35754,114935,54791,3991,0,0,615,2552,1812,1324,2427,3876
5/25/2021,0,3990,0,2754,2131,8875,4885,56401,0,25628,26586,108616,52215,3990,0,0,439,2315,1156,975,1596,3290
5/26/2021,0,3495,0,3186,4496,11177,7682,48058,0,24829,32355,105242,57185,3495,0,0,512,2674,1742,2754,2254,5428
5/27/2021,5,5717,3088,5859,4397,19061,13345,70665,15746,35858,24081,146350,75684,5717,35,3054,868,4991,1174,3223,2077,11268
5/28/2021,5,7001,2339,9256,6571,25167,18166,95808,8846,59200,30176,194029,98222,7001,19,2320,1155,8101,751,5820,1926,16240
5/29/2021,5,9262,2260,17882,9381,38785,29523,131331,10256,123032,52803,317422,186091,9262,69,2191,3103,14779,1328,8053,4500,25023
5/30/2021,5,8254,3312,22606,11978,46149,37896,146755,15557,165358,58772,386442,239688,8254,0,3312,4369,18236,2305,9673,6674,31221
5/31/2021,5,10658,4194,38133,14398,67384,56725,237840,20329,319138,84982,662289,424449,10658,12,4182,9133,29001,3109,11289,12254,44471
6/1/2021,5,10125,2893,22833,9720,45571,35446,223351,10668,143349,88339,465707,242356,10125,19,2874,5449,17384,2201,7520,7669,27777
6/2/2021,5,7144,1423,7563,7054,23184,16040,100779,2969,54956,36490,195194,94415,7144,12,1412,1843,5720,1760,5294,3615,12426
6/3/2021,5,5546,536,4526,5280,15888,10343,88944,2897,34652,44588,171080,82137,5546,0,536,1069,3457,1865,3415,2934,7409
6/4/2021,0,3851,200,3058,3248,10357,6507,43737,0,29293,22843,95873,52135,3851,0,200,726,2333,1084,2164,1810,4697
6/5/2021,0,3988,492,2572,3092,10144,6155,58213,1515,18645,32163,110536,52323,3988,0,492,583,1989,1509,1583,2092,4063
6/6/2021,0,3994,533,2666,3157,10350,6356,54290,2537,25828,46812,129467,75176,3994,0,533,710,1956,1612,1545,2322,4034
6/7/2021,5,3986,1267,5522,5980,16754,12768,86508,8207,53414,58858,206987,120479,3986,0,1267,1310,4212,1504,4476,2814,9954
6/8/2021,5,3985,1190,4212,4610,13998,10012,67243,8632,37971,43766,157612,90370,3985,0,1190,956,3256,1711,2900,2667,7346
6/9/2021,5,3469,877,4136,4435,12917,9448,39400,4257,31406,40123,115187,75787,3469,0,877,772,3364,1547,2888,2319,7129
6/10/2021,0,2957,523,5607,2787,11873,8916,36868,1785,30400,12793,81847,44978,2957,0,523,1157,4450,1038,1748,2196,6721
6/11/2021,0,2889,267,5255,3594,12005,9116,38254,2647,34298,26076,101275,63021,2889,0,267,1136,4119,1101,2493,2237,6879
6/12/2021,5,7517,2050,11042,5022,25631,18114,99058,7940,61970,24611,193578,94520,7517,0,2050,2181,8861,1398,3624,3579,14535
6/13/2021,5,8824,2024,13517,5139,29504,20680,129599,6568,77236,25854,239257,109658,8824,0,2024,2686,10831,2242,2898,4928,15753
6/14/2021,5,8251,1596,15989,7420,33257,25006,123375,8062,95302,49977,276716,153341,8251,0,1596,2756,13233,3524,3897,6280,18726
6/15/2021,5,9561,2486,33054,11321,56422,46861,199155,9143,213745,79671,501714,302559,9561,35,2451,6797,26257,4313,7008,11145,35716
6/16/2021,5,9628,2189,19034,8080,38931,29303,184515,5922,126187,70051,386675,202159,9628,16,2172,3494,15540,2635,5445,6146,23157
6/17/2021,5,8814,972,8855,5876,24517,15703,145860,2640,49085,45148,242733,96873,8814,148,824,2095,6760,1741,4135,3984,11719
6/18/2021,5,7872,1405,7748,6576,23601,15729,112062,3814,42756,54056,212688,100626,7872,49,1355,1627,6121,1810,4767,3486,12243
6/19/2021,5,3985,785,4058,4507,13335,9350,54086,2693,18386,54259,129425,75339,3985,0,785,759,3300,1667,2840,2426,6924
6/20/2021,5,3982,597,5130,5558,15266,11284,60255,766,26852,59550,147423,87168,3982,0,597,1119,4011,2000,3558,3118,8166
6/21/2021,0,1992,3,1759,2401,6155,4163,15352,0,10139,21554,47045,31693,1992,0,3,496,1263,965,1437,1461,2702
6/22/2021,0,1993,0,2096,3270,7360,5366,15891,0,5149,28421,49462,33570,1993,0,0,448,1648,1001,2269,1449,3917
6/23/2021,0,1789,0,2857,3681,8326,6537,12892,0,9484,24503,46879,33987,1789,0,0,617,2239,1514,2166,2131,4406
6/24/2021,0,2841,0,3644,4951,11436,8595,31351,0,14289,22847,68487,37136,2841,0,0,788,2856,1333,3619,2121,6475
6/25/2021,0,3024,0,3802,4454,11279,8256,24322,0,14865,18219,57406,33084,3024,0,0,815,2987,1200,3254,2015,6241
6/26/2021,0,3859,0,4135,8064,16057,12198,34042,0,18600,39323,91964,57922,3859,0,0,847,3287,4200,3864,5047,7151
6/27/2021,0,3377,0,3144,3740,10260,6883,34849,0,18660,25851,79360,44511,3377,0,0,612,2532,2192,1548,2804,4079
6/28/2021,0,1964,0,2759,4321,9044,7080,20564,0,12320,34287,67171,46607,1964,0,0,560,2199,3130,1191,3690,3390
6/29/2021,0,1931,0,3102,4665,9698,7767,23117,0,13219,30899,67235,44118,1931,0,0,690,2411,3557,1109,4247,3520
6/30/2021,0,1855,0,2084,4062,8001,6145,14147,0,8880,34759,57787,43640,1855,0,0,503,1581,2936,1125,3439,2706
4/1/2020,2,7970,886,714,768,10339,2369,64894,7336,7224,10027,89482,24587,7970,266,621,286,428,538,231,1089,1279
4/2/2020,2,7970,886,506,971,10333,2363,82462,11861,6372,15352,116047,33585,7970,266,620,203,304,680,291,1148,1215
4/3/2020,2,7970,890,305,1082,10247,2277,68245,18981,5360,14386,106971,38726,7970,267,623,122,183,757,325,1146,1130
4/4/2020,2,7970,890,728,1801,11388,3418,114690,23695,9492,16468,164345,49655,7970,267,623,291,437,1261,540,1819,1600
4/5/2020,2,7970,2722,1707,2068,14466,6496,86309,29286,23952,27958,167506,81197,7970,817,1905,683,1024,1447,620,2947,3550
4/6/2020,2,7970,3029,3029,2099,16127,8157,118936,51133,45212,24284,239566,120630,7970,909,2120,1212,1817,1469,630,3590,4567
4/7/2020,2,7970,3937,4459,2304,18671,10701,93994,79140,76455,31367,280957,186962,7970,1181,2756,1784,2676,1613,691,4578,6123
4/8/2020,2,7970,2546,3921,1408,15846,7876,114211,40028,55710,20914,230862,116651,7970,764,1782,1569,2353,986,422,3318,4557
4/9/2020,2,7970,2550,3824,1590,15935,7965,87349,35160,46250,16682,185441,98092,7970,765,1785,1530,2295,1113,477,3408,4557
4/10/2020,2,7970,2543,3573,1823,15909,7939,83334,32942,32803,18366,167445,84112,7970,763,1780,1429,2144,1276,547,3468,4471
4/11/2020,0,7970,997,1669,1399,12035,4065,60427,6951,18236,11868,97482,37055,7970,299,698,668,1001,979,420,1946,2119
4/12/2020,0,7970,995,2050,1718,12733,4763,83219,8241,18332,16065,125858,42639,7970,298,696,820,1230,1203,516,2321,2442
4/13/2020,0,7970,997,1965,1520,12452,4482,75224,4438,31192,19579,130433,55208,7970,299,698,786,1179,1064,456,2149,2333
4/14/2020,4,7970,5455,4734,2087,20245,12275,68960,40105,45008,11995,166067,97107,7970,1636,3818,1894,2841,1461,626,4991,7285
4/15/2020,4,7970,7143,6146,3131,24391,16421,85198,57996,62041,29915,235150,149952,7970,2143,5000,2458,3688,2192,939,6793,9627
4/16/2020,4,7970,7462,4677,3342,23451,15481,131447,98081,76450,38168,344147,212699,7970,2238,5223,1871,2806,2340,1003,6449,9032
4/17/2020,4,7970,5568,4424,2342,20304,12334,110028,51641,64739,27774,254182,144154,7970,1670,3898,1770,2654,1640,703,5080,7255
4/18/2020,4,7970,1584,1387,1796,12737,4767,116339,13553,19527,18717,168136,51797,7970,475,1109,555,832,1257,539,2287,2480
4/19/2020,4,7970,1574,536,1597,11677,3707,126136,14169,8370,28572,177247,51112,7970,472,1102,214,322,1118,479,1805,1903
